date,InstrumentTelemetry.mean_H1,InstrumentTelemetry.mean_S1,InstrumentTelemetry.mean_T1,InstrumentTelemetry.mean_T2
8/7/2018 1:54:50.000000000 PM,0.7233333333333333,-120.02,-120.10000000000001,32.473333333333336
8/7/2018 2:07:48.000000000 PM,0.7385714285714285,-120.02,-120.12285714285714,33.98571428571428
8/7/2018 2:20:46.000000000 PM,0.6966666666666667,-120.02,-120.06,35.11833333333333
8/7/2018 2:33:44.000000000 PM,0.7157142857142856,-120.02,-120.08857142857143,35.53142857142857
8/7/2018 2:46:42.000000000 PM,0.7233333333333333,-120.02,-120.10000000000001,36.61
8/7/2018 2:59:40.000000000 PM,0.692857142857143,-120.02,-120.05428571428571,36.471428571428575
8/7/2018 3:12:38.000000000 PM,0.6833333333333335,-120.02,-120.04,36.49166666666667
8/7/2018 3:25:36.000000000 PM,0.67,-120.02,-120.02,36.287142857142854
8/7/2018 3:38:34.000000000 PM,0.67,-120.02,-120.02,35.138333333333335
8/7/2018 3:51:32.000000000 PM,0.67,-120.02,-120.02,35.83571428571429
8/7/2018 4:04:30.000000000 PM,0.67,-120.02,-120.02,35.13999999999999
8/7/2018 4:17:28.000000000 PM,0.67,-120.02,-120.02,34.96
8/7/2018 4:30:26.000000000 PM,0.67,-120.02,-120.02,35.53333333333334
8/7/2018 4:43:24.000000000 PM,0.6357142857142858,-120.02,-120.02,35.73428571428572
8/7/2018 4:56:22.000000000 PM,0.61,-120.02,-120.02,35.15833333333334
8/7/2018 5:09:20.000000000 PM,0.6271428571428571,-120.02,-120.05428571428571,34.62285714285714
8/7/2018 5:22:18.000000000 PM,0.63,-120.02,-120.06,34.04
8/7/2018 5:35:16.000000000 PM,0.6271428571428571,-120.02,-120.05428571428571,33.31142857142857
8/7/2018 5:48:14.000000000 PM,0.63,-120.02,-120.06,33.278333333333336
8/7/2018 6:01:12.000000000 PM,0.6442857142857142,-120.02,-120.08857142857143,33.699999999999996
8/7/2018 6:14:10.000000000 PM,0.63,-120.02,-120.06,32.14166666666666
8/7/2018 6:27:08.000000000 PM,0.63,-120.02,-120.06,31.650000000000002
8/7/2018 6:40:06.000000000 PM,0.6357142857142858,-120.02,-120.07142857142857,31.448571428571427
8/7/2018 6:53:04.000000000 PM,0.64,-120.02,-120.08,30.74666666666667
8/7/2018 7:06:02.000000000 PM,0.6442857142857142,-120.02,-120.08857142857143,30.255714285714287
8/7/2018 7:19:00.000000000 PM,0.65,-120.02,-120.10000000000001,30.75
8/7/2018 7:31:58.000000000 PM,0.67,-120.02,-120.14,29.667142857142856
8/7/2018 7:44:56.000000000 PM,0.65,-120.02,-120.10000000000001,30.041666666666668
8/7/2018 7:57:54.000000000 PM,0.67,-120.02,-120.14,28.83
